timestamp,user,source_ip,destination_ip,failed_logins,request_count,port,data_transferred_mb,session_duration,event_type,login_location,device_count,true_label
2026-08-18 11:21:49,dgupta,10.0.16.51,10.0.5.16,0,10,80,5.95,1241,login_success,"Delhi, IN",1,normal
2026-08-18 12:06:37,dgupta,10.0.1.239,10.0.5.21,1,44,8443,7.39,1654,normal_browsing,"Delhi, IN",1,normal
2026-08-18 13:10:51,asharma,10.0.20.119,10.0.5.55,2,24,80,2.17,1818,login_success,"Sydney, AU",1,normal
2026-08-18 13:18:47,svc_deploy,10.0.16.249,10.0.5.38,0,21,8443,2.74,1178,vpn_connection,"New York, US",1,normal
2026-08-18 13:40:57,kjoshi,10.0.15.183,10.0.5.11,1,12,53,1.85,2552,database_query,"Bangalore, IN",2,normal
2026-08-18 14:29:36,rsingh,10.0.8.180,10.0.5.16,0,44,80,0.89,2707,normal_browsing,"Dublin, IE",1,normal
2026-08-18 17:15:37,svc_backup,10.0.20.12,10.0.5.41,0,27,3306,3.75,1098,file_access,"Dublin, IE",1,normal
2026-08-19 01:51:09,jkhan,10.0.18.85,10.0.5.27,4,41,80,12.91,1300,privilege_escalation_attempt,"Mumbai, IN",2,suspicious
2026-08-19 08:26:03,rsingh,10.0.13.130,10.0.5.25,0,25,80,5.6,1565,file_access,"Dublin, IE",1,normal
2026-08-19 08:53:07,cfernandes,10.0.17.41,10.0.5.21,0,11,3306,0.86,2935,file_access,"Mumbai, IN",1,normal
2026-08-19 09:53:45,aiyer,10.0.11.204,10.0.5.11,0,3,53,2.96,3428,vpn_connection,"Sydney, AU",1,normal
2026-08-19 10:11:15,svc_deploy,10.0.19.83,10.0.5.53,2,45,3306,3665.54,3480,large_data_transfer,"New York, US",1,suspicious
2026-08-19 11:35:20,svc_deploy,10.0.10.99,10.0.5.31,1,42,3306,2.13,1293,email_activity,"New York, US",1,normal
2026-08-19 13:55:12,ymehta,10.0.8.148,10.0.5.26,0,27,443,0.63,1333,normal_browsing,"Toronto, CA",2,normal
2026-08-19 15:19:55,ymehta,10.0.19.111,10.0.5.21,1,40,443,0.72,2527,normal_browsing,"Toronto, CA",1,normal
2026-08-19 15:21:15,svc_monitoring,10.0.1.5,10.0.5.44,2,8,25,8.16,640,login_failure,"Delhi, IN",8,suspicious
2026-08-19 16:10:03,cfernandes,10.0.17.22,10.0.5.56,0,5,80,2.86,2795,file_access,"Mumbai, IN",2,normal
2026-08-19 17:07:03,jkhan,10.0.18.233,10.0.5.34,0,37,22,17.55,703,email_activity,"Mumbai, IN",2,normal
2026-08-19 17:09:14,bshah,10.0.15.165,10.0.5.18,1,17,443,1.12,3325,vpn_connection,"London, UK",1,normal
2026-08-19 17:12:37,svc_backup,10.0.18.48,10.0.5.45,1,2,25,0.3,2931,file_access,"Dublin, IE",2,normal
